Iteracion,led_x,led_y,Diferencia,Data,Simuladas
7,16,20,2302893043.0006227,2330137935.5141726,28849914.0
7,18,12,1794689726.87563,1795101296.0221753,411568.88
7,18,14,3934018070.922343,3938233319.1243014,4215408.0
7,18,16,5741626341.130046,6400385075.170394,756734200.0
7,18,18,3369585731.26335,3375908607.32886,6678083.5
7,18,20,1616980492.1501353,1617402395.2803547,422098.1
7,20,12,860077574.125522,860110416.296953,32842.133
7,20,14,1011210598.9815575,1011592870.3051357,383049.62
7,20,16,1379904952.7129726,1406663084.4136431,32151390.0
7,20,18,1173976165.991602,1174464444.3436067,490055.28
7,20,20,890817833.2636417,890855032.4823587,37199.24
8,12,12,914460028.575557,914496811.2204304,36782.633
8,12,14,1305400450.4995196,1305748518.911716,348068.56
8,12,16,1370997304.8166938,1404602268.4141164,34949228.0
8,12,18,1121833604.826267,1122315762.9722438,487084.6
8,12,20,864430487.8803838,864465986.8574182,35499.016
8,14,12,1516749979.0023785,1517270428.7001956,520450.12
8,14,14,3380615179.6757355,3387258553.3384356,6888693.0
8,14,16,6097877321.157066,6842847302.501243,912501950.0
8,14,18,3878142095.768132,3886576448.7173085,8480158.0
8,14,20,1843467301.864705,1844066746.5605443,599444.9
8,16,12,2049991695.3284638,2073034569.999196,27548202.0
8,16,14,8354158758.835535,8854521968.970114,602227260.0
8,16,16,95182291389.28001,864690601229.2925,860756640000.0
8,16,18,8688214128.148306,9296987611.669428,714459200.0
8,16,20,2302861881.567561,2330137935.5141726,28883074.0
8,18,12,1794689722.4543073,1795101296.0221753,411573.38
8,18,14,3934015470.27669,3938233319.1243014,4218011.0
8,18,16,5739076356.9627905,6400385075.170394,759261400.0
8,18,18,3369584556.5944347,3375908607.32886,6679194.5
8,18,20,1616980416.3760636,1617402395.2803547,422173.72
8,20,12,860077572.8877006,860110416.296953,32843.37
8,20,14,1011210584.0594758,1011592870.3051357,383065.3
8,20,16,1379898280.256335,1406663084.4136431,32159596.0
8,20,18,1173976165.0256314,1174464444.3436067,490060.25
8,20,20,890817832.1425464,890855032.4823587,37200.36
9,12,12,914460026.8281235,914496811.2204304,36784.4
9,12,14,1305400427.8451471,1305748518.911716,348091.34
9,12,16,1370990054.230771,1404602268.4141164,34958324.0
9,12,18,1121833493.5660548,1122315762.9722438,487194.0
9,12,20,864430483.8769172,864465986.8574182,35502.977
9,14,12,1516749835.8605604,1517270428.7001956,520593.06
9,14,14,3380613552.2139516,3387258553.3384356,6890191.5
9,14,16,6093777646.969535,6842847302.501243,918605950.0
9,14,18,3878231012.231462,3886576448.7173085,8392685.0
9,14,20,1843467091.057122,1844066746.5605443,599655.8
9,16,12,2049979313.246462,2073034569.999196,27562226.0
9,16,14,8350413735.838114,8854521968.970114,608650560.0
9,16,16,90996953565.73485,864690601229.2925,860982350000.0
9,16,18,8680172503.738377,9296987611.669428,722383500.0
9,16,20,2302826080.646113,2330137935.5141726,28921142.0
9,18,12,1794689716.918349,1795101296.0221753,411579.1
9,18,14,3934012450.554296,3938233319.1243014,4221032.0
9,18,16,5734277919.843111,6400385075.170394,764665600.0
9,18,18,3369583222.1378813,3375908607.32886,6680449.0
9,18,20,1616980329.046507,1617402395.2803547,422260.66
9,20,12,860077571.4800305,860110416.296953,32844.805
9,20,14,1011210566.8803766,1011592870.3051357,383083.66
9,20,16,1379890650.857036,1406663084.4136431,32168962.0
9,20,18,1173976161.2637246,1174464444.3436067,490068.66
9,20,20,890817830.8665384,890855032.4823587,37201.613
10,12,12,914460024.8430828,914496811.2204304,36786.41
10,12,14,1305400401.9390764,1305748518.911716,348117.22
10,12,16,1370981830.7336464,1404602268.4141164,34968710.0
10,12,18,1121833366.9385695,1122315762.9722438,487319.28
10,12,20,864430479.3823254,864465986.8574182,35507.555
10,14,12,1516749669.4989116,1517270428.7001956,520758.44
10,14,14,3380611709.192959,3387258553.3384356,6891885.5
10,14,16,6087434351.101988,6842847302.501243,928508350.0
10,14,18,3878230279.0626225,3886576448.7173085,8395291.0
10,14,20,1843466846.479905,1844066746.5605443,599900.1
10,16,12,2049965342.0143461,2073034569.999196,27577854.0
10,16,14,8344764637.085983,8854521968.970114,618045950.0
10,16,16,86527966277.88716,864690601229.2925,861260300000.0
10,16,18,8669492677.830566,9296987611.669428,733677500.0
10,16,20,2302785586.6390285,2330137935.5141726,28964150.0
10,18,12,1794689710.100097,1795101296.0221753,411586.0
10,18,14,3934008994.7744966,3938233319.1243014,4224489.0
10,18,16,5726867316.076722,6400385075.170394,773445400.0
10,18,18,3369581730.8248563,3375908607.32886,6681840.0
10,18,20,1616980229.8621128,1617402395.2803547,422360.5
10,20,12,860077569.8816442,860110416.296953,32846.438
10,20,14,1011210547.3440228,1011592870.3051357,383104.44
10,20,16,1379882065.5247624,1406663084.4136431,32179460.0
10,20,18,1173976153.8304574,1174464444.3436067,490082.28
10,20,20,890817829.4224559,890855032.4823587,37203.066
