Iteracion,led_x,led_y,Diferencia,Data,Simuladas
15,3,15,1554903121.5083604,1555070646.1163015,167524.56
15,3,16,1637956188.0215416,1638276406.3421552,320218.44
15,3,17,1596566166.3011816,1596726434.1510956,160267.84
15,3,18,1874092621.614533,1874102176.821584,9555.201
15,3,19,2089454969.7642689,2089468412.582207,13442.821
15,3,20,2340438756.1042686,2340574089.2498794,135973.12
20,1,1,1447686412566.9995,1451541848603.4019,3855434500.0
20,2,1,10148909972.598148,10176026587.078632,27242702.0
20,2,2,9513598455.22343,9547824793.353415,34849296.0
20,2,3,8372478726.22683,8413401993.768299,41482476.0
20,2,4,8331394475.319509,8372318909.940894,41965670.0
20,2,5,8396029801.701589,8433770265.178412,38331400.0
20,2,6,11243896339.370596,11276598451.37594,33006468.0
20,2,7,11636457400.960617,11682544661.32534,47225470.0
20,2,8,9242406450.037947,9293744349.226927,52164296.0
20,2,9,8870780558.005224,8917860443.958853,48020200.0
20,2,10,8953168717.697659,8988917348.09337,36123536.0
20,3,1,2661866679.0686173,2662111397.2950034,244718.31
20,3,2,2531774703.931809,2531894828.4574986,120238.57
20,3,3,2303491095.3926287,2303502093.3394847,10997.959
20,3,4,1742368081.6130738,1742379172.2394671,11090.619
20,3,5,1622573307.329676,1622726195.523456,152888.3
20,3,6,1642996396.6580772,1643310856.257977,314459.84
20,3,7,1656058182.9654493,1656229425.7720997,171242.8
20,3,8,1882182872.9313638,1882194247.3107564,11374.375
20,3,9,2125168325.2338285,2125178767.7281563,10442.496
20,3,10,2360770538.9164424,2360901699.3197794,131160.48
20,3,11,2752097510.5287404,2752347281.5061994,249770.95
20,3,12,2639744129.1754117,2639878016.9118094,133958.33
20,3,13,2354971799.1668844,2354985158.158999,13358.995
20,3,14,1748187234.8559883,1748200968.1788473,13733.334
20,3,15,1554902840.6616082,1555070646.1163015,167805.58
20,3,16,1637955172.3754315,1638276406.3421552,321234.03
20,3,17,1596565711.6865823,1596726434.1510956,160722.4
20,3,18,1874092570.4172826,1874102176.821584,9606.408
20,3,19,2089454929.948948,2089468412.582207,13482.654
20,3,20,2340438441.787715,2340574089.2498794,136282.61
25,1,1,1444589583960.5771,1451541848603.4019,6952270300.0
25,2,1,10122948966.15766,10176026587.078632,53840576.0
25,2,2,9480754472.267715,9547824793.353415,69725030.0
25,2,3,8336902626.342085,8413401993.768299,78683870.0
25,2,4,8298828862.510026,8372318909.940894,76649520.0
25,2,5,8363494791.115262,8433770265.178412,72231970.0
25,2,6,11212376959.94043,11276598451.37594,65511630.0
25,2,7,11592971038.532543,11682544661.32534,93489230.0
25,2,8,9198981349.80306,9293744349.226927,97793150.0
25,2,9,8834104212.335926,8917860443.958853,87552040.0
25,2,10,8921733442.707699,8988917348.09337,68557140.0
25,3,1,2661865830.4621534,2662111397.2950034,245566.67
25,3,2,2531774349.038904,2531894828.4574986,120590.22
25,3,3,2303491019.050555,2303502093.3394847,11074.271
25,3,4,1742367877.928462,1742379172.2394671,11294.312
25,3,5,1622572941.9364488,1622726195.523456,153253.55
25,3,6,1642995513.5968978,1643310856.257977,315342.3
25,3,7,1656057842.6397386,1656229425.7720997,171583.2
25,3,8,1882182738.0523338,1882194247.3107564,11509.25
25,3,9,2125168283.8510683,2125178767.7281563,10483.884
25,3,10,2360769597.612248,2360901699.3197794,132101.6
25,3,11,2752095978.9901524,2752347281.5061994,251302.58
25,3,12,2639743326.01825,2639878016.9118094,134763.7
25,3,13,2354971665.060196,2354985158.158999,13493.111
25,3,14,1748187012.358645,1748200968.1788473,13955.814
25,3,15,1554902432.905722,1555070646.1163015,168213.14
25,3,16,1637953439.3981187,1638276406.3421552,322967.12
25,3,17,1596565003.6711745,1596726434.1510956,161430.62
25,3,18,1874092462.1727858,1874102176.821584,9714.65
25,3,19,2089454833.0322583,2089468412.582207,13579.552
25,3,20,2340437948.5134773,2340574089.2498794,136767.19
30,1,1,1437122031900.7954,1451541848603.4019,14419818000.0
30,2,1,10045233620.817713,10176026587.078632,135158540.0
30,2,2,9387840132.158192,9547824793.353415,174707100.0
30,2,3,8241239382.913937,8413401993.768299,183897000.0
30,2,4,8214300743.29268,8372318909.940894,171294860.0
30,2,5,8274766083.548584,8433770265.178412,168597180.0
30,2,6,11119053588.456903,11276598451.37594,164094860.0
30,2,7,11473607486.418633,11682544661.32534,229567170.0
30,2,8,9083890706.642677,9293744349.226927,225661490.0
30,2,9,8740155872.480919,8917860443.958853,194394510.0
30,2,10,8835325510.89025,8988917348.09337,161794190.0
30,3,1,2661864386.6141233,2662111397.2950034,247010.8
30,3,2,2531773662.7894435,2531894828.4574986,121271.25
