Iteracion,led_x,led_y,Diferencia,Data,Simuladas
3,22,22,835546437.7360228,835557397.8725171,10960.135
3,22,24,592785201.7601084,592791008.2105324,5806.4424
3,22,26,542309623.0607816,542314545.1146182,4922.057
3,24,6,403705005.7871288,403707138.06553125,2132.277
3,24,8,434024758.96735483,434027481.819797,2722.846
3,24,10,396428873.2092018,396434510.4747114,5637.2607
3,24,12,436578455.06172216,436590264.78143156,11809.735
3,24,14,464012441.29673946,464299178.32784265,286999.44
3,24,16,565367251.0106834,567987151.442726,3334755.0
3,24,18,551533802.7436999,551965769.171354,431966.2
3,24,20,567865624.7792542,567878524.7755972,12900.0
3,24,22,487921674.3743469,487927639.40517896,5965.0264
3,24,24,453697586.6731769,453700380.8449236,2794.17
3,24,26,426257502.0937614,426259645.3338099,2143.2388
3,26,6,278240772.73419136,278242326.3211417,1553.5878
3,26,8,297421207.34318364,297423313.931232,2106.5896
3,26,10,287789587.16126937,287794484.63701546,4897.4707
3,26,12,330997547.7983034,331006246.83495766,8699.034
3,26,14,336925504.33240086,337187601.48734695,268747.72
3,26,16,385893086.5521573,388248965.6340632,2355877.5
3,26,18,358478631.1310287,358871398.9573452,395766.8
3,26,20,396195732.9464727,396206935.72298837,11202.781
3,26,22,370947091.94313884,370952260.8981518,5168.949
3,26,24,340428455.6882411,340430646.76186377,2191.0732
3,26,26,335806002.93645793,335807645.12248504,1642.1852
4,6,6,328672928.0072555,328674570.5838822,1642.5779
4,6,8,348143530.2380996,348145706.20703024,2175.968
4,6,10,338246886.2019245,338251870.5292859,4984.328
4,6,12,375176680.6402319,375187169.0638688,10488.438
4,6,14,370867510.10638314,371214082.6229665,358342.8
4,6,16,396353569.8580041,398242377.464428,2411414.2
4,6,18,350891499.7527102,351200355.55267185,308855.78
4,6,20,338095912.9792755,338105389.98365825,9477.008
4,6,22,311201527.643515,311206594.2534992,5066.608
4,6,24,283022274.45100313,283024489.391471,2214.9385
4,6,26,290645689.375584,290647312.9827024,1623.6078
4,8,6,424765018.02969974,424767194.3137637,2176.2866
4,8,8,444222541.33438295,444225323.2262891,2781.8936
4,8,10,471267857.4781202,471273577.36910665,5719.885
4,8,12,560782070.9757957,560794541.7579709,12470.7705
4,8,14,538032570.6574521,538354947.7955059,342220.75
4,8,16,575861912.8393456,579109190.0684261,3398328.2
4,8,18,465686077.84492123,466072883.3407086,388571.47
4,8,20,444137249.3194819,444149821.0047073,12571.687
4,8,22,408740386.68694323,408746484.5068406,6097.8257
4,8,24,418740057.6815201,418742900.9812238,2843.2988
4,8,26,415329862.96884936,415332068.9269318,2205.9612
4,10,6,535926967.7016044,535932077.44686884,5127.6104
4,10,8,626154337.9240007,626160316.2480139,5978.3276
4,10,10,855723249.3123213,855734335.8549255,11086.541
4,10,12,952457474.6947902,952479218.1233642,21743.434
4,10,14,983814135.3282866,984210019.8567272,395884.72
4,10,16,1036702569.0704299,1043104296.9386994,6640396.5
4,10,18,750076434.0115869,750581347.9158521,504999.1
4,10,20,692982033.1242541,693005185.6255932,23152.479
4,10,22,718793338.1262438,718805163.9316635,11825.82
4,10,24,671280036.8904206,671286152.953694,6116.064
4,10,26,580722013.4271767,580727112.3110319,5098.871
4,12,6,740975285.0453593,740986636.2101434,11351.177
4,12,8,908047858.3804849,908061280.5105826,13422.14
4,12,10,1214825769.0879464,1214847676.8822675,21907.824
4,12,12,1533399051.243075,1533459711.2593768,60660.027
4,12,14,1988499657.8706737,1990389751.3108914,1896952.1
4,12,16,2415404566.2694736,2433414771.240269,18225568.0
4,12,18,1804570026.4049578,1806176252.9835434,1606227.2
4,12,20,1502198111.400207,1502248050.8705063,49939.508
4,12,22,1233217263.7279932,1233241683.8680649,24420.146
4,12,24,925996810.8254724,926009927.1645377,13116.366
4,12,26,739103139.8293114,739113364.1011336,10224.269
4,14,6,923511502.7593589,923987060.240725,509648.06
4,14,8,1110781627.3479278,1111323594.9013598,542422.75
4,14,10,1412517142.7085953,1413060628.598468,543486.0
4,14,12,2460384702.7698298,2462786805.308541,2402101.0
4,14,14,5289643569.549154,5314983572.47767,26532424.0
4,14,16,10866248637.06622,11749118358.77177,985904700.0
4,14,18,6461790031.432857,6502966080.668471,42198372.0
4,14,20,2896500576.495408,2898953127.194635,2453398.0
4,14,22,1652480769.1390162,1653080683.9100797,600830.1
4,14,24,1114718817.6022875,1115196348.3129127,481497.8
4,14,26,814968051.2223557,815366817.7359037,398765.7
4,16,6,933956578.0312693,940749325.5523566,6793156.0
4,16,8,1190949727.7412066,1200093820.6539075,9152134.0
